Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2018-10-10;54.2137;54.424;51.9515;52.0253;174629610.91188
2018-10-11;51.5806;52.779;51.0573;51.5628;220932838.17963
2018-10-12;53.0004;53.5915;52.142;53.4051;167756383.8509
2018-10-15;53.1818;53.3423;52.2426;52.2656;128053127.68957
2018-10-16;52.6455;53.6165;52.122;53.4151;121369774.0219
2018-10-17;53.4499;53.5327;52.7421;53.1898;95175409.56984
2018-10-18;52.3822;52.8339;51.2167;51.9445;135498632.01051
2018-10-19;52.431;53.2047;52.2806;52.7351;137567257.5737
2018-10-22;52.8468;53.7062;52.6474;53.0552;119740033.07989
2018-10-23;51.8977;53.6793;51.6256;53.5537;161227074.62291
2018-10-24;53.5237;53.9226;51.5856;51.7192;170198885.34781
2018-10-25;52.3484;53.2346;52.12;52.8498;124163668.082
2018-10-26;51.9147;52.9435;51.138;52.0123;196537345.98753
2018-10-29;52.7053;52.8239;49.5558;51.0373;191035879.36572
2018-10-30;50.7722;51.7392;50.3185;51.2895;152460948.37185
2018-10-31;52.1519;53.0083;52.0911;52.6275;159526491.25342
2018-11-01;52.6713;53.4649;52.134;53.4331;242553471.19556
2018-11-02;50.3883;51.3723;49.3974;49.8928;379816080.35214
2018-11-05;49.1271;49.1471;47.6546;48.4762;275160359.73919
2018-11-06;48.5529;49.2258;48.502;48.9955;132593992.17935
2018-11-07;49.5269;50.5079;49.0853;50.4821;139004979.59798
2018-11-08;50.6655;50.6994;49.8898;50.3065;105110956.95869
2018-11-09;49.5957;49.7083;48.8001;49.3396;142422773.90036
2018-11-12;48.0185;48.2239;46.7603;46.8531;211922105.09423
2018-11-13;46.236;47.5799;46.1921;46.3856;194298036.38468
2018-11-14;46.7873;46.9269;44.8652;45.0725;251978810.07168
2018-11-15;45.4564;46.3217;45.0985;46.1821;192623168.21352
2018-11-16;45.9667;47.0485;45.7196;46.6965;153042614.18183
2018-11-19;45.8471;46.0157;44.6369;44.8482;173733646.33869
2018-11-20;43.0407;43.7905;42.3479;42.7048;281089747.64332
2018-11-21;43.3658;43.4953;42.604;42.6588;128988785.96888
2018-11-23;42.2093;42.614;41.5263;41.5702;97905378.236738
2018-11-26;42.0428;42.2113;41.0826;42.1295;186488412.79943
2018-11-27;41.3838;42.1674;41.2322;42.0428;171522665.88303
2018-11-28;42.646;43.7475;42.2073;43.6599;190898048.2297
2018-11-29;44.0726;44.1044;42.8782;43.3228;173108344.83525
2018-11-30;43.5003;43.5103;42.7167;43.0895;163831516.57077
2018-12-03;44.5083;44.6249;43.7277;44.596;169080103.20007
2018-12-04;43.6619;44.0108;42.5362;42.639;171344066.77412
2018-12-06;41.4445;42.1693;41.1226;42.1544;178613738.39865
2018-12-07;41.8644;42.0976;40.6091;40.656;175228741.83217
2018-12-10;39.8146;41.0408;39.4128;40.9232;257055759.7636
2018-12-11;41.4197;41.4515;40.2981;40.6909;195950499.4232
2018-12-12;41.1166;41.4815;40.7836;40.8035;147652593.46015
2018-12-13;41.1396;41.64;40.9102;41.2502;132194901.56933
2018-12-14;40.7787;40.7985;39.8793;39.9292;168689329.88244
2018-12-17;39.9213;40.6211;39.2683;39.5574;183543465.39541
2018-12-18;39.9033;40.4217;39.665;40.0737;140250184.1886
2018-12-19;40.0578;40.4018;38.3869;38.8196;203267850.0366
2018-12-20;38.7079;39.1147;37.4767;37.8396;268440076.77181
2018-12-21;37.8475;38.1626;36.1059;36.3681;396795663.21987
2018-12-24;35.747;36.5664;35.3721;35.4309;154041306.14269
2018-12-26;35.7828;37.9363;35.404;37.9233;242784995.24596
2018-12-27;37.6033;37.8247;36.2145;37.6761;220134285.83103
2018-12-28;38.0031;38.2454;37.2922;37.6961;175269324.24079
2018-12-31;38.2484;38.4537;37.7529;38.0629;145065676.80563
